#RESOURCE=yCat_22250032
#Name: J/ApJS/225/32
#Title: Extended abundance analysis of cool stars (Brewer+, 2016)
#Table	J_ApJS_225_32_stars:
#Name: J/ApJS/225/32/stars
#Title: Spectroscopically determined  stellar properties , abundances  an derived parameters  for the 1615 F, G, and K stars
#Column	SPOCS	(I4)	[2/3247] SPOCS ID (G1)	[ucd=meta.id;meta.main]
#Column	Name	(a14)	Star name	[ucd=meta.id]
#Column	Teff	(I4)	[4702/6773] Stellar effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[2.6/5] Stellar surface gravity	[ucd=phys.gravity]
#Column	[M/H]	(F5.2)	[-1.2/0.6] Stellar metallicity	[ucd=phys.abund.Z]
#Column	S	(F6.2)	[-1.9/540] Mount Wilson Ca HK activity index	[ucd=meta.code;spect.index]
#Column	logRhk	(F5.2)	[-6.3/-1.7]? log(R'HK) activity index	[ucd=spect.index]
#Column	Vbr	(F4.1)	[0.6/25] Derived velocity broadening	[ucd=spect.line.broad]
#Column	Vsini	(F4.1)	[0/20.1] Derived projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	Vmac	(F4.1)	[1.6/23.3] Derived macroturbulent velocity	[ucd=phys.veloc]
#Column	Vrad	(F6.1)	[-137/164] Barycentric radial velocity at time of observation	[ucd=phys.veloc;pos.barycenter]
#Column	SNR	(I3)	[14/492] Signal to Noise ratio at 6000 Angstroms	[ucd=stat.snr]
#Column	Crms	(F5.2)	[0.01/0.3] RMS scatter in continuum	[ucd=stat.error]
#Column	Lrms	(F5.2)	[0.01/0.1] RMS scatter in line	[ucd=stat.error]
#Column	N	(I2)	[1/23] Number of spectra fit for that star	[ucd=meta.number]
#Column	[Fe/H]	(F5.2)	[-1.2/0.6]? Derived [Fe/H] abundance	[ucd=phys.abund.Fe]
#Column	RAJ2000	(A10)	SIMBAD Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	SIMBAD Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[1.7/10.1]? V magnitude from SIMBAD	[ucd=phot.mag;em.opt.V]
#Column	Dist	(F6.2)	[3.6/353]? Distance from SIMBAD	[ucd=pos.distance;pos.heliocentric]
#Column	logL	(F5.2)	[-0.8/1.8]? Derived Stellar Luminosity (1)	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	[0.01/1.1]? Uncertainty in logL (1)	[ucd=stat.error]
#Column	Rstar	(F5.2)	[0.6/10]? Derived Stellar Radius (1)	[ucd=phys.size.radius]
#Column	e_Rstar	(F5.2)	[0.02/4]? Uncertainty in Rstar (1)	[ucd=stat.error]
#Column	Mstar	(F6.2)	[0.2/7]? Derived Stellar Mass (1)	[ucd=phys.mass]
#Column	e_Mstar	(F6.2)	[0.03/14]? Uncertainty in Mstar (1)	[ucd=stat.error]
#Column	Miso	(F5.2)	[0.6/3]? Isochrone derived stellar mass (2)	[ucd=phys.mass]
#Column	logg2	(F5.2)	[1.6/5]? Isochrone derived surface gravity (2)	[ucd=phys.gravity]
#Column	e_logg2	(F5.2)	[0.01/0.3]? Uncertainty in logg-iso (2)	[ucd=stat.error]
#Column	Age	(F4.1)	[0.6/15]? Isochrone derived age (2)	[ucd=time.age]
#Column	CCat	(I3)	Display data from Isaacson+, 2010, J/ApJ/725/875, within 1" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
SPOCS	Name	Teff	logg	[M/H]	S	logRhk	Vbr	Vsini	Vmac	Vrad	SNR	Crms	Lrms	N	[Fe/H]	RAJ2000	DEJ2000	Vmag	Dist	logL	e_logL	Rstar	e_Rstar	Mstar	e_Mstar	Miso	logg2	e_logg2	Age	CCat	Simbad
2004	HD 224983     	5156	 4.47	 0.10	  0.24	-4.84	 2.6	 1.6	 2.0	 -18.6	383	 0.01	 0.01	 1	 0.12	00 02 21.5	+11 00 22	 8.48	 31.19	-0.42	 0.03	 0.77	 0.03	  0.63	  0.09	 0.86	 4.58	 0.03	 4.1	  1	Simbad
2005	HTR163-001    	4951	 4.44	 0.29	  0.29	-4.77	 2.6	 1.8	 1.8	 -21.6	115	 0.02	 0.02	 2	 0.33	00 38 04.0	+34 42 42	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2006	HTR123-008    	6120	 4.31	 0.14	  0.18	     	 6.0	 2.1	 5.5	 -16.7	162	 0.01	 0.02	 1	 0.16	00 38 17.6	+42 27 48	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2007	HD 225021     	5026	 3.12	 0.27	  0.12	-5.30	 4.7	 3.2	 3.4	  -6.8	266	 0.01	 0.02	 1	 0.35	00 02 40.1	+51 28 21	 7.70	143.68	 1.23	 0.10	 5.44	 0.63	  1.42	  0.37	 2.02	 3.27	 0.08	 1.4	  1	Simbad
2008	HTR087-003    	5067	 3.15	-0.01	 -1.85	     	 5.1	 3.6	 3.5	 -35.9	 76	 0.02	 0.07	 1	 0.06	00 42 52.6	+54 44 58	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2009	HTR123-005    	6306	 4.18	-0.04	  0.15	-5.05	13.5	10.0	 7.3	   2.2	 60	 0.03	 0.03	 1	 0.02	00 43 55.8	+44 24 57	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2010	HTR164-005    	5668	 4.37	 0.10	  0.16	-5.01	 3.8	 2.0	 3.1	  42.0	 98	 0.03	 0.02	 2	 0.09	00 52 00.2	+34 43 38	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2011	HTR087-015    	6153	 3.96	-0.08	  0.12	-5.32	 6.8	 1.3	 6.6	 -27.6	104	 0.01	 0.02	 1	-0.05	00 52 12.0	+53 58 37	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2012	HTR210-001    	5394	 4.34	 0.19	  0.13	-5.22	 3.0	 1.7	 2.4	 -28.5	 90	 0.01	 0.02	 1	 0.21	01 24 15.4	+32 48 26	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2013	HTR165-012    	5488	 4.66	-0.25	  0.24	-4.73	 3.1	 1.5	 2.6	 -36.2	 89	 0.02	 0.02	 1	-0.24	01 24 49.6	+35 58 57	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2014	HTR124-004    	5724	 3.89	 0.14	  0.15	-5.04	 4.7	 1.6	 4.3	 -23.0	131	 0.01	 0.01	 1	 0.15	01 29 17.9	+41 51 17	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2015	HD 118        	6382	 3.68	-0.28	  0.09	     	19.0	13.6	 9.4	 -49.6	 84	 0.03	 0.04	 4	-0.26	00 06 00.1	-39 08 15	 8.55	352.11	 1.58	 0.28	 5.04	 1.62	  4.47	  2.92	 1.98	 3.42	 0.20	 1.1	  0	Simbad
2016	HTR125-017    	5074	 3.09	 0.07	  0.12	-5.28	 5.0	 3.5	 3.5	 -35.7	122	 0.01	 0.02	 1	 0.14	01 31 39.7	+48 37 00	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2017	HD 249        	4775	 2.95	-0.06	  0.11	-5.38	 3.9	 0.1	 4.0	  16.1	272	 0.01	 0.02	 1	-0.04	00 07 22.6	+26 27 02	 7.33	126.10	 1.31	 0.07	 6.60	 0.54	  1.40	  0.28	 1.16	 2.87	 0.07	 6.2	  1	Simbad
2018	HTR125-009    	5214	 4.43	 0.10	  0.13	-5.21	 2.8	 1.8	 2.1	 -41.1	 59	 0.02	 0.03	 1	 0.12	01 55 41.4	+42 33 05	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2019	HTR211-001    	5586	 4.57	-0.51	  0.15	-5.07	 2.8	 0.1	 2.8	  70.8	156	 0.01	 0.01	 1	-0.55	02 07 46.4	+33 38 58	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2020	HTR089-011    	6052	 4.28	 0.19	  0.15	     	 6.5	 3.9	 5.0	 -22.9	163	 0.01	 0.01	 1	 0.21	02 12 32.5	+51 46 42	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2021	HTR211-003    	5339	 4.39	 0.10	  0.14	-5.12	 2.8	 1.4	 2.3	 -20.0	107	 0.01	 0.02	 1	 0.06	02 21 31.9	+32 14 44	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2022	HTR212-002    	6597	 4.15	 0.02	  0.14	-5.07	14.4	 7.6	11.8	   1.4	235	 0.01	 0.01	 1	 0.07	02 33 14.1	+30 21 33	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2023	HTR212-005    	5045	 4.45	 0.23	  0.12	-5.25	 2.1	 0.8	 1.8	  60.0	 70	 0.02	 0.03	 1	 0.25	02 50 52.8	+29 01 25	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2024	HD 18436 A    	5886	 4.21	 0.30	  0.16	-5.01	 5.2	 3.2	 4.0	  30.3	353	 0.01	 0.01	 1	 0.29	02 56 33.2	-39 26 46	 7.98	 77.22	 0.50	 0.08	 1.70	 0.16	  1.70	  0.38	 1.27	 4.07	 0.06	 4.2	  0	Simbad
2025	HD 18436 B    	5759	 4.43	 0.23	  0.19	-4.84	 6.4	 5.0	 3.4	  27.0	283	 0.01	 0.02	 1	 0.21	02 56 34.5	-39 26 54	 7.98	 77.22	 0.51	 0.08	 1.80	 0.17	  3.20	  0.71	 1.22	 4.00	 0.07	 5.4	  0	Simbad
2026	HD 745        	5051	 3.31	 0.06	  0.22	-4.87	 4.3	 2.4	 3.5	   2.5	265	 0.01	 0.01	 1	 0.12	00 11 47.5	+09 08 24	 7.45	138.12	 1.29	 0.08	 5.79	 0.53	  2.48	  0.54	 1.94	 3.20	 0.06	 1.4	  1	Simbad
2027	HTR213-008    	5965	 4.27	 0.10	  0.14	-5.18	 4.7	 1.4	 4.4	  17.1	166	 0.01	 0.01	 1	 0.10	02 57 53.4	+30 37 29	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2028	HTR213-002    	4922	 4.48	 0.17	  0.31	-4.52	 2.3	 1.3	 1.7	   3.7	177	 0.01	 0.02	 1	 0.22	03 09 28.1	+30 40 30	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2029	HTR258-002    	5499	 4.40	 0.27	  0.16	-5.00	 3.3	 1.9	 2.6	 -14.7	114	 0.01	 0.02	 2	 0.27	03 13 44.7	+25 11 36	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2030	MARVELS-1     	6163	 4.03	-0.09	  0.15	     	 6.4	 2.3	 5.9	  15.0	245	 0.01	 0.01	 1	-0.06	03 16 57.3	+20 37 02	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2031	HTR169-010    	5808	 4.31	-0.10	  0.16	-4.97	 3.6	 0.1	 3.6	 -39.0	136	 0.01	 0.01	 1	-0.16	03 30 55.1	+38 47 57	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2032	HD 1100       	4784	 2.95	 0.02	  0.13	-5.29	 3.8	 0.1	 4.0	  22.0	267	 0.01	 0.02	 1	 0.06	00 15 16.3	-06 08 18	 7.75	140.45	 1.23	 0.11	 6.03	 0.80	  1.18	  0.34	 1.20	 2.97	 0.09	 5.8	  1	Simbad
2033	HD 1205       	5811	 4.14	 0.28	  0.14	-5.11	 6.8	 5.3	 3.6	   6.7	310	 0.01	 0.01	 1	 0.28	00 16 23.5	-22 35 17	 7.90	 76.57	 0.53	 0.08	 1.81	 0.17	  1.64	  0.36	 1.26	 4.03	 0.07	 4.9	  1	Simbad
2034	HD 1293       	5114	 3.19	-0.39	  0.16	-5.03	 4.9	 3.2	 3.5	  44.5	202	 0.01	 0.01	 2	-0.37	00 17 05.5	-01 39 11	 8.38	158.48	 1.04	 0.15	 4.19	 0.71	  0.98	  0.35	 1.19	 3.30	 0.12	 4.6	  1	Simbad
2035	HTR170-004    	5587	 4.34	 0.21	  0.17	-4.92	 3.7	 2.3	 2.8	  32.2	189	 0.01	 0.01	 2	 0.21	04 24 59.0	+39 27 30	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2036	HTR093-012    	6308	 4.10	-0.08	  0.12	-5.32	 8.7	 4.4	 7.3	  59.8	255	 0.01	 0.01	 1	-0.06	04 32 12.8	+52 15 19	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2037	HTR062-011    	5947	 4.07	-0.19	  0.14	-5.09	 5.0	 2.3	 4.3	 -35.2	147	 0.01	 0.01	 1	-0.18	04 35 23.2	+56 52 06	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2038	HTR405-001    	6338	 4.09	 0.09	  0.14	-5.11	14.3	10.6	 7.7	  22.9	114	 0.01	 0.02	 1	 0.15	04 35 53.8	+02 25 49	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2039	HTR171-008    	5438	 4.34	 0.24	  0.26	-4.70	 2.7	 1.0	 2.5	 -32.7	104	 0.02	 0.02	 1	 0.25	04 36 24.4	+38 15 00	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2040	HTR171-008B   	4807	 4.25	 0.23	  0.92	-4.29	 6.6	 6.2	 1.6	 -36.5	 33	 0.04	 0.05	 1	 0.28	04 36 24.8	+38 15 11	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2041	HD 1449       	4966	 3.07	-0.23	  0.12	-5.26	 3.9	 1.8	 3.4	  23.6	261	 0.01	 0.02	 1	-0.21	00 18 39.6	+22 52 47	 7.14	122.85	 1.33	 0.06	 6.24	 0.46	  1.68	  0.32	 1.33	 2.97	 0.07	 3.4	  1	Simbad
2042	HD 1502       	4947	 3.18	 0.05	  0.14	-5.15	 3.8	 1.6	 3.4	 -10.6	184	 0.01	 0.02	 1	 0.09	00 19 17.1	+14 03 17	 8.36	159.24	 1.07	 0.11	 4.67	 0.57	  1.19	  0.32	 1.46	 3.28	 0.09	 3.0	  1	Simbad
2043	WASP-1        	6116	 4.13	 0.21	  0.14	     	 4.9	 0.1	 5.5	 -14.6	145	 0.01	 0.02	 3	 0.23	00 20 40.1	+31 59 24	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2044	HD 1666       	6279	 4.10	 0.32	  0.13	-5.22	 8.5	 4.5	 7.0	  16.4	239	 0.01	 0.01	 3	 0.37	00 20 52.3	-19 55 52	 8.17	108.46	 0.70	 0.07	 1.89	 0.16	  1.64	  0.34	 1.47	 4.11	 0.09	 1.6	  1	Simbad
2045	HTR311-004    	6441	 4.54	-0.17	  0.18	-4.83	11.5	 6.0	 9.1	  18.1	176	 0.01	 0.02	 2	-0.16	05 19 08.9	+17 42 02	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2046	HTR263-005    	5983	 3.98	-0.22	  0.17	-4.89	 5.9	 2.3	 5.4	 -19.5	114	 0.01	 0.02	 1	-0.23	05 24 01.4	+18 51 10	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2047	HTR094-008    	6326	 3.76	-0.16	  0.09	     	 7.5	 0.1	 8.8	  -2.7	 52	 0.03	 0.07	 1	-0.12	05 27 30.8	+55 34 59	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2048	HD 1770       	4956	 3.27	 0.07	  0.12	-5.27	 3.8	 1.5	 3.4	  25.9	267	 0.01	 0.02	 1	 0.11	00 22 17.3	+37 45 40	 7.50	105.93	 1.06	 0.06	 4.59	 0.34	  1.41	  0.27	 1.50	 3.29	 0.06	 2.9	  1	Simbad
2049	EPIC202094994 	5904	 4.42	-0.05	  0.15	-5.06	 3.6	 0.1	 4.1	  -5.8	 47	 0.02	 0.03	 1	-0.06	06 04 26.3	+22 30 01	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2050	HTR173-008    	5962	 4.30	 0.09	  0.17	-4.91	 5.3	 2.8	 4.4	  17.1	129	 0.01	 0.01	 1	 0.10	06 05 42.3	+37 35 11	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2051	EPIC202089657 	6132	 4.13	-0.15	  0.12	     	 5.7	 0.9	 5.6	   9.9	238	 0.01	 0.01	 1	-0.14	06 05 48.9	+23 29 04	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2052	EPIC202083688 	4800	 2.84	 0.02	  0.33	-4.77	 4.2	 0.9	 4.0	  31.7	 45	 0.03	 0.06	 1	 0.10	06 14 35.4	+23 43 35	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2053	EPIC202136151 	5140	 3.42	-0.39	  0.20	-4.94	 3.8	 1.3	 3.5	   6.5	 24	 0.06	 0.06	 1	-0.39	06 22 31.2	+17 20 20	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2054	EPIC202088212 	6299	 4.46	 0.04	  0.16	-4.97	15.7	11.1	 7.2	 -10.0	 42	 0.03	 0.03	 1	 0.03	06 22 33.7	+14 44 26	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2055	EPIC202136200 	4887	 2.80	 0.07	  0.21	-4.95	 4.6	 2.2	 4.0	  -3.9	 48	 0.03	 0.04	 1	 0.15	06 24 12.5	+17 43 55	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2056	EPIC202126884 	6317	 3.75	-0.04	  0.12	-5.39	16.0	12.0	 8.6	  64.9	 41	 0.03	 0.03	 1	 0.05	06 26 43.0	+25 12 15	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2057	EPIC202138142 	4705	 2.96	 0.37	  0.24	-4.95	 3.9	 0.1	 4.0	  -6.6	 45	 0.03	 0.07	 1	 0.40	06 27 38.8	+23 20 35	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2058	EPIC202095074 	6501	 4.21	 0.07	  0.13	-5.19	13.7	 8.5	10.0	  -5.7	 40	 0.03	 0.03	 1	 0.12	06 29 09.3	+28 14 08	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2059	EPIC202093020 	5994	 4.54	 0.25	  0.13	-5.23	22.6	18.4	 4.6	 -12.5	 41	 0.03	 0.04	 1	 0.31	06 33 05.2	+16 52 07	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2060	HD 2331       	5960	 4.26	 0.12	  0.16	-4.98	 5.0	 2.2	 4.4	 -16.8	238	 0.01	 0.01	 1	 0.13	00 27 13.9	+05 38 15	 9.55	110.62	 0.18	 0.14	 1.15	 0.19	  0.87	  0.30	 1.13	 4.40	 0.06	 2.1	  1	Simbad
2061	HTR314-007    	5854	 4.51	-0.04	  0.17	-4.96	 4.9	 2.8	 3.8	  27.8	 84	 0.01	 0.03	 1	-0.02	06 48 48.3	+17 09 44	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2062	EPIC202126847 	5874	 4.52	 0.00	  0.21	-4.77	 4.6	 2.2	 4.0	  25.8	 41	 0.03	 0.03	 1	 0.00	06 48 48.6	+17 09 46	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2063	EPIC202086137 	5155	 3.66	-0.17	  0.15	-5.08	 3.0	 0.1	 3.5	  -2.4	 43	 0.03	 0.03	 1	-0.18	06 54 49.9	+25 50 52	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2065	HTR315-006    	6330	 4.14	-0.19	  0.16	     	12.7	 9.1	 7.6	  -4.9	147	 0.01	 0.02	 2	-0.16	07 15 18.0	+14 15 47	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2066	HD 2564       	6206	 4.03	 0.38	  0.15	-5.06	14.7	11.6	 6.3	 -22.5	241	 0.01	 0.01	 3	 0.45	00 29 31.1	+24 52 52	 7.78	 98.23	 0.77	 0.06	 2.10	 0.16	  1.72	  0.33	 1.55	 3.96	 0.07	 1.6	  1	Simbad
2067	HD 236427     	5102	 3.61	 0.02	  0.15	-5.13	 3.6	 0.6	 3.5	 -13.6	255	 0.01	 0.01	 1	 0.05	00 29 54.1	+59 15 18	 8.24	109.17	 0.77	 0.07	 3.10	 0.27	  1.41	  0.30	 1.36	 3.60	 0.06	 3.8	  1	Simbad
2068	HTR363-002    	6346	 4.12	-0.03	  0.14	-5.14	15.0	11.1	 7.8	  25.0	 89	 0.02	 0.03	 1	 0.04	07 31 33.2	+11 05 38	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2069	HTR176-001    	6411	 3.98	 0.01	  0.17	-4.91	17.7	12.7	10.2	  21.8	170	 0.01	 0.01	 2	 0.07	07 32 44.8	+33 50 03	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2070	HTR315-005    	6411	 4.15	 0.12	  0.18	-4.82	15.7	11.6	 8.7	  27.2	130	 0.01	 0.02	 2	 0.17	07 35 01.5	+17 49 48	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2071	HTR267-004    	4885	 3.62	 0.08	  0.15	-5.15	 3.5	 0.3	 3.4	  25.6	156	 0.02	 0.04	 1	 0.12	07 36 58.2	+19 01 56	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2072	HTR268-001    	5288	 4.49	 0.19	  0.33	-4.60	 3.0	 2.0	 2.2	  -8.1	117	 0.01	 0.02	 1	 0.22	07 46 44.0	+23 11 34	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2073	HTR176-002    	5470	 4.33	 0.18	  0.15	-5.10	 3.8	 2.7	 2.5	 -12.8	107	 0.01	 0.02	 1	 0.17	07 46 51.7	+39 06 03	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2074	HD 2816       	4996	 3.46	 0.10	  0.13	-5.24	 3.7	 1.2	 3.4	 -12.3	270	 0.01	 0.01	 1	 0.14	00 31 41.5	+12 54 49	 7.25	 77.46	 0.88	 0.04	 3.68	 0.17	  1.40	  0.21	 1.44	 3.46	 0.05	 3.3	  1	Simbad
2075	HD 2946       	5452	 3.69	-0.16	  0.27	-4.64	 5.7	 4.1	 3.8	   9.5	201	 0.01	 0.01	 2	-0.16	00 32 35.1	-18 06 33	 8.09	134.95	 0.97	 0.11	 3.44	 0.45	  2.11	  0.61	 1.53	 3.57	 0.09	 2.4	  1	Simbad
2076	HTR364-003    	6069	 4.15	 0.07	  0.13	-5.24	 4.1	 0.1	 5.1	  38.7	154	 0.01	 0.01	 1	 0.08	08 13 00.3	+04 47 22	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2077	HTR365-001    	6162	 4.18	 0.04	  0.13	     	 5.9	 0.0	 5.9	  42.8	161	 0.01	 0.01	 1	 0.07	08 15 47.9	+05 50 16	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2078	HTR136-001    	5681	 4.08	 0.42	  0.14	-5.12	 5.0	 3.7	 3.1	  12.9	191	 0.01	 0.02	 2	 0.42	08 39 30.9	+47 21 10	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2079	HTR317-002    	4949	 4.44	 0.16	  0.20	-4.96	 2.2	 1.1	 1.8	  71.7	160	 0.01	 0.02	 1	 0.18	08 42 26.2	+13 33 06	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2080	HD 3141       	5180	 4.44	 0.12	  0.18	-4.99	 2.4	 1.2	 2.0	  -1.0	379	 0.01	 0.01	 1	 0.14	00 35 00.9	+42 41 41	 8.02	 28.90	-0.31	 0.03	 0.87	 0.03	  0.77	  0.11	 0.86	 4.50	 0.04	 9.7	  1	Simbad
2081	HTR137-003    	5265	 3.92	-0.42	  0.14	-5.15	 4.4	 2.1	 3.6	   3.6	 91	 0.02	 0.02	 1	-0.45	08 58 14.5	+42 13 55	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2082	HD 3404       	5339	 3.81	 0.18	  0.16	-5.05	 3.8	 0.7	 3.6	   6.8	322	 0.01	 0.01	 1	 0.20	00 36 46.8	-24 30 03	 7.94	 71.28	 0.49	 0.06	 2.05	 0.15	  0.99	  0.19	 1.17	 3.89	 0.04	 6.7	  1	Simbad
2083	HTR180-001    	5933	 4.12	 0.08	  0.16	     	 5.9	 3.8	 4.3	   8.6	180	 0.01	 0.01	 1	 0.09	09 20 24.5	+33 52 57	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2084	HD 3458       	5100	 2.95	 0.03	  0.13	-5.23	 5.4	 3.5	 4.0	  -6.3	255	 0.01	 0.02	 1	 0.12	00 37 22.9	-19 33 54	 8.28	283.29	 1.58	 0.20	 7.88	 1.80	  2.02	  0.95	 2.23	 3.09	 0.15	 0.9	  1	Simbad
2085	HD 3684       	6162	 3.90	 0.24	  0.19	-4.78	10.5	 7.3	 6.7	 -23.1	245	 0.01	 0.01	 1	 0.32	00 39 42.6	+08 07 22	     	      	     	     	     	     	      	      	     	     	     	    	  1	Simbad
2086	HTR139-004    	6079	 4.34	-0.12	  0.14	-5.14	 5.9	 2.5	 5.2	 -30.0	 97	 0.01	 0.01	 2	-0.13	10 00 43.0	+42 06 50	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2087	HTR102-001    	5306	 4.36	 0.28	  0.21	     	 3.1	 2.0	 2.2	  11.8	262	 0.01	 0.01	 1	 0.28	10 22 43.3	+50 07 41	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2088	HTR182-001    	4925	 3.42	 0.14	  0.15	-5.04	 4.0	 2.1	 3.4	 -15.4	146	 0.01	 0.02	 1	 0.17	10 35 29.7	+40 44 16	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2089	HIP 52942 A   	6196	 4.03	-0.14	  0.16	-4.98	 8.0	 4.7	 6.2	  23.4	234	 0.01	 0.01	 1	-0.13	10 49 37.2	+12 55 31	 9.29	101.94	 0.21	 1.10	 1.11	 1.40	  0.48	  1.20	 1.21	 4.36	 0.25	 2.3	  0	Simbad
2090	HD 4075       	5565	 4.10	 0.31	  0.15	-5.10	 4.0	 2.7	 2.8	 -10.7	371	 0.01	 0.01	 1	 0.31	00 45 04.7	+75 56 16	 7.19	 37.36	 0.20	 0.02	 1.36	 0.04	  0.85	  0.12	 1.09	 4.22	 0.03	 7.0	  1	Simbad
2091	EPIC201713348 	4836	 4.55	-0.03	  0.60	-4.95	 3.2	 2.7	 1.7	  13.6	 73	 0.02	 0.03	 2	 0.00	11 17 47.8	+03 51 59	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2092	EPIC201713348B	4865	 4.40	-0.06	  0.52	-4.52	 7.0	 6.4	 1.7	  12.7	 39	 0.03	 0.04	 1	 0.01	11 17 48.4	+03 51 59	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2093	HTR183-005    	5716	 4.56	-0.36	  0.17	-4.93	 2.8	 0.1	 3.3	  20.8	127	 0.01	 0.01	 2	-0.40	11 23 54.6	+35 44 45	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2094	HTR183-008    	5743	 4.42	 0.07	  0.33	-4.47	 5.3	 3.9	 3.4	 -54.6	134	 0.01	 0.01	 1	 0.07	11 25 05.1	+41 01 45	     	      	     	     	     	     	      	      	     	     	     	    	  0	Simbad
2095	HD 4313       	4943	 3.24	 0.13	  0.12	-5.28	 3.9	 1.7	 3.4	  13.5	186	 0.01	 0.02	 1	 0.18	00 45 40.4	+07 50 42	 7.83	136.99	 1.15	 0.09	 5.14	 0.56	  1.68	  0.41	 1.63	 3.24	 0.08	 2.3	  1	Simbad
2096	HD 4395       	5494	 3.61	-0.15	  0.17	-4.95	 4.8	 2.8	 3.8	  -1.7	244	 0.01	 0.01	 1	-0.15	00 46 13.7	-11 27 09	 7.68	 94.70	 0.83	 0.06	 2.86	 0.20	  1.21	  0.22	 1.39	 3.68	 0.04	 3.2	  1	Simbad
