,time,mnvel,errvel,tel
0,2452219.138044,-145.87411041607567,1.1018662459177224,k
1,2452236.014734,-63.347377017638166,1.2134149296211043,k
2,2452243.050683,-56.783797458311994,1.1705811357805005,k
3,2452307.849907,-109.75242157330223,1.3297314194282062,k
4,2452333.997674,-140.98954315533348,1.49397320428772,k
5,2452334.892998,-142.92603607525535,1.2655552021101921,k
6,2452573.112569,-67.1162712131948,1.1725778684560275,k
7,2452574.128981,-49.00980301251121,1.2771943468605684,k
8,2452576.098113,-12.604342654845198,1.3532226076974525,k
9,2452601.03147,-89.17764587750145,1.1930849891971624,k
10,2452602.058542,-62.19303055157371,1.2519585432962987,k
11,2452603.113634,-29.19700928082176,1.2140713815863267,k
12,2452652.972558,-76.44166870464989,1.4370564611075103,k
13,2452654.039491,-102.2887680088491,1.471475477010827,k
14,2452680.970162,-33.821849063536604,1.33250447015064,k
15,2452682.950914,-86.75789947857567,1.3971186931857926,k
16,2452711.766863,-80.99737091412254,1.358393894989901,k
17,2452712.825567,-109.09031982769676,1.3917058650061862,k
18,2452777.805602,-54.545619205138166,1.2058729287780094,k
19,2452804.745035,-129.61251373638817,1.4631513346625393,k
20,2452988.038287,-9.168887332579573,1.2957386294741873,k
21,2453017.861331,-21.548243716856916,1.211428132411571,k
22,2453045.781875,19.277516170838396,1.2087052748063445,k
23,2453077.041736,-22.666407779356916,1.3601432489583003,k
24,2453339.117525983,16.86569899833325,1.212829499057335,j
25,2453369.989845781,-20.75576487291293,1.3371867919176201,j
26,2453425.7701301975,13.576156690768581,1.3130947523767789,j
27,2453480.747235005,-49.861259076875456,1.1559523406786152,j
28,2453546.764362707,-32.460420804256486,1.5587841844301233,j
29,2453547.777795132,-78.56264306488674,1.1641597458907293,j
30,2453693.0303502423,-30.815425914203484,0.8715504796141269,j
31,2453694.008604248,-51.70117456557763,1.102719601346067,j
32,2453695.0509993574,-88.0037946414772,1.017172823422478,j
33,2453696.0991782546,-103.84741727476998,1.1743494088640436,j
34,2453697.1099837073,-112.42514930513767,1.1875261318566683,j
35,2453724.274895553,-86.33675172469952,1.0526908368950683,j
