,jd,mnvel,errvel,tel
6,2453240.129931,-3873.3874219640957,10.758209986949177,j
7,2453397.776875,-3530.1493406428785,10.146717732237482,j
8,2454024.04772,-2215.5822392066475,8.645503740200212,j
9,2454130.863032,-1802.3353684494195,10.115318847828949,j
10,2454396.899398,743.0710522273957,8.66425812308929,j
11,2454398.015243,728.2055716781579,8.657725273509602,j
12,2454492.728843,2917.755825122379,6.634816897308973,j
13,2454720.146238,-5111.1238427376165,11.950910860562956,j
14,2454805.943322,-5661.1017716609595,12.747397243620732,j
15,2455196.73508,-4252.1958449126705,11.144715694503077,j
16,2455198.727092,-4244.758408023674,12.081511526913053,j
17,2456018.723358,-2377.3018187941866,9.019606720480128,j
18,2456514.144354,1632.7362809306965,8.105452624602911,j
19,2456526.123495,1921.7040986986153,7.995625028743514,j
20,2456534.101652,2119.0817809826967,7.861612657141197,j
21,2456584.970558,3480.166636978942,8.612724550177735,j
22,2456586.035873,3525.4091868129963,8.973762366043168,j
23,2456613.915957,4749.336513442481,12.17802722600041,j
24,2456674.756691,9636.02671601788,11.425204588001272,j
25,2456709.84989,5593.099910112244,12.999970555372172,j
26,2457829.710032,-2969.4506836029855,8.588550529905005,j
27,2458116.839576,-2315.625155547422,8.97477165165207,j
28,2458476.901232,-357.018012542806,10.471309592761989,j
29,2458568.716264,1312.3209785747426,8.188400082654091,j
